"_v","المديرية","السنة","النوع","العدد"
,"السويس","2020","ذكور","22"
,"الجيزة","2020","ذكور","160"
,"بنى سويف","2020","إناث","208"
,"المنيا","2020","إناث","446"
,"أسيوط","2020","إناث","334"
,"سوهاج","2020","ذكور","312"
,"قنا","2020","ذكور","569"
,"قنا","2020","إناث","304"
,"الأقصر","2020","إناث","62"
,"أسوان","2020","إناث","114"
,"مطروح","2020","إناث","13"
,"اجمالى الجمهورية","2020","ذكور","7196"
,"القاهرة","2021","إناث","1"
,"البحيرة","2021","ذكور","550"
,"البحيرة","2021","إناث","316"
,"الدقهلية","2021","ذكور","489"
,"الشرقية","2021","إناث","547"
,"السويس","2021","ذكور","17"
,"الجيزة","2021","إناث","117"
,"أسيوط","2021","ذكور","340"
,"المنيا","2021","إناث","402"
,"قنا","2021","ذكور","544"
,"اجمالى الجمهورية","2021","إناث","4547"
,"القاهرة","2022","إناث","4"
,"كفر الشيخ","2022","ذكور","463"
,"المنوفية","2022","ذكور","153"
,"دمياط","2022","إناث","67"
,"الإسماعيلية","2022","إناث","187"
,"المنيا","2022","ذكور","579"
,"المنيا","2022","إناث","375"
,"قنا","2022","ذكور","503"
,"جنوب سيناء","2022","ذكور","20"
,"البحيرة","2023","ذكور","414"
,"الغربية","2023","ذكور","190"
,"الغربية","2023","إناث","229"
,"كفر الشيخ","2023","ذكور","410"
,"كفر الشيخ","2023","إناث","439"
,"الدقهلية","2023","ذكور","343"
,"الدقهلية","2023","إناث","239"
,"دمياط","2023","إناث","73"
,"بورسعيد","2023","ذكور","28"
,"الإسماعيلية","2023","ذكور","152"
,"الفيوم","2023","ذكور","212"
,"بنى سويف","2023","إناث","162"
,"سوهاج","2023","ذكور","214"
,"سوهاج","2023","إناث","116"
,"الأقصر","2023","إناث","51"
,"مطروح","2023","ذكور","44"
,"البحر الأحمر","2023","ذكور","7"
,"جنوب سيناء","2023","ذكور","20"
,"اجمالى الجمهورية","2023","ذكور","5199"
,"سوهاج","2021","إناث","130"
,"قنا","2021","إناث","291"
,"أسوان","2021","ذكور","170"
,"مطروح","2021","ذكور","38"
